slug,old_url,clicks,impressions
prepress-operator,https://addify.ae/job/prepress-operator/,197,2016
digital-retoucher-ecommerce,https://addify.ae/job/digital-retoucher-ecommerce/,161,1716
procurement-manager-dubai,https://addify.ae/job/procurement-manager-dubai/,108,2194
academic-supervisors,https://addify.ae/job/academic-supervisors/,97,1622
cdp-chef-de-partie-international-cuisine,https://addify.ae/job/cdp-chef-de-partie-international-cuisine/,79,796
senior-database-engineer,https://addify.ae/job/senior-database-engineer/,69,3142
online-purchasing-officer-abu-dhabi,https://addify.ae/job/online-purchasing-officer-abu-dhabi/,18,215
it-security-engineer,https://addify.ae/job/it-security-engineer/,15,615
pr-managerarabic-speaking-only-dubai,https://addify.ae/job/pr-managerarabic-speaking-only-dubai/,11,240
project-director-global-events-logistics-doha-qatar,https://addify.ae/job/project-director-global-events-logistics-doha-qatar/,7,164
talent-acquisiton-executive-fmcg-and-retail,https://addify.ae/job/talent-acquisiton-executive-fmcg-and-retail/,3,437
custom-and-excise-tax-manager,https://addify.ae/job/custom-and-excise-tax-manager/,2,22
purchasing-assistant-dubai,https://addify.ae/job/purchasing-assistant-dubai/,2,76
recruiters-sr-recruiters-dubai,https://addify.ae/job/recruiters-sr-recruiters-dubai/,2,76
cost-accountant-dubai,https://addify.ae/job/cost-accountant-dubai/,1,53
hr-executive-4,https://addify.ae/job/hr-executive-4/,1,124
bartender-abu-dhabi,https://addify.ae/job/bartender-abu-dhabi/,1,26
senior-consultant-assistant-manager-manager-and-senior-manager-regulatory-advisory-dubai,https://addify.ae/job/senior-consultant-assistant-manager-manager-and-senior-manager-regulatory-advisory-dubai/,1,30
it-support-engineer-7,https://addify.ae/job/it-support-engineer-7/,1,6
business-development-manager-logistics-dubai,https://addify.ae/job/business-development-manager-logistics-dubai/,1,130
